t_sta_info,t_sta_spec,t_sta_ad,t_sta_dat,t_sta_age
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),한남동 541-1,1981-10-27,558.0
노거목 - 당산목,은행나무 (Ginkgo biloba L.),동빙고동 65,1968-07-03,486.0
노거목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),원효로4가 87-2,1981-10-27,358.0
노거목 - 당산목,은행나무 (Ginkgo biloba L.),용산동5가 24,1981-10-27,358.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),원효로4가87-2,1998-04-25,226.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),원효로4가87-2,1998-04-25,226.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),원효로4가87-2,1998-04-25,226.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),동빙고동 17,1968-07-03,286.0
노거목 - 풍치목,비술나무 (Ulmus pumila L.),원효로1가 25,1998-04-25,176.0
노거목 - 풍치목,비술나무 (Ulmus pumila L.),원효로1가 25(건물),1998-04-25,176.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),원효로4가 128-1,1981-10-27,158.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),원효로4가 128-1,1981-10-27,158.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),원효로4가 128-1,1981-10-27,158.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),원효로4가 128-1,1981-10-27,158.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),원효로4가 128-1,1981-10-27,158.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),한강로2가 55-1,1981-10-27,178.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),한강로2가 55-1,1981-10-27,178.0
노거목 - 정자목,은행나무 (Ginkgo biloba L.),한강로2가 55-1,1981-10-27,178.0
노거목 - 당산목,회화나무 (Sophora japonica L.),성수2가동 416-2,1982-10-30,557.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),성수1가동 110,1981-10-27,358.0
노거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),성수1가동 110,1981-10-27,358.0
노거목 - 당산목,은행나무 (Ginkgo biloba L.),상왕십리동 72,1981-10-27,458.0
노거목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),성수1가동 642-1,1986-11-25,348.0
노거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),옥수동 415-1,1981-10-27,258.0
노거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),옥수동 415-1,1981-10-27,258.0
노거목 - 명목,느티나무 (Zelkova serrata (Thunb.) Makino),성수1가동 208,2000-12-20,364.0
노거목 - 명목,느티나무 (Zelkova serrata (Thunb.) Makino),성수1가동 208,2004-12-27,320.0
노거목 - 풍치목,느티나무 (Sawleaf Zelkova),화양동 131,1974-04-20,670.0
노거목 - 풍치목,느티나무 (Sawleaf Zelkova),구의동 9,1982-10-20,407.0
노거목 - 당산목,향나무 (Juniperus chinensis),능동 367-2,2000-12-20,474.0
노거목 - 정자목,느티나무 (Sawleaf Zelkova),화양동 110-32,2005-07-21,319.0
노거목 - 명목,향나무 (Juniperus chinensis L.),전농2동 150-1,1981-10-27,558.0
노거목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),답십리1동 1004-4,1981-10-27,358.0
노거목 - 당산목,물푸레나무 (Fraxinus rhynchophylla Hance),전농1동 270-41,2000-12-20,294.0
노거목 - 풍치목,비술나무 (Ulmus pumila L.),이문1동 371-1,2005-07-21,109.0
노거목 - 정자목,느티나무 (Zelkova serrata),면목본동 213-3,1981-10-27,178.0
노거목 - 정자목,느티나무 (Zelkova serrata),정릉동 508,1968-07-03,386.0
노거목 - 풍치목,느티나무 (Zelkova serrata),정릉동 508,1968-07-03,386.0
노거목 - 풍치목,느티나무 (Zelkova serrata),돈암동 595,1968-07-03,406.0
노거목 - 풍치목,느티나무 (Zelkova serrata),성북동 323,1981-10-27,308.0
노거목 - 풍치목,느티나무 (Zelkova serrata),성북동 323,1981-10-27,308.0
노거목 - 풍치목,느티나무 (Zelkova serrata),정릉동 508,1981-10-27,208.0
노거목 - 풍치목,향나무 (Juniperus chinensis Linnaeus),장위동 223-33,2004-12-27,220.0
노거목 - 명목,느티나무 (Zelkova Tree),수유동 산 164-5,1981-10-27,458.0
노거목 - 명목,느티나무 (Zelkova Tree),수유동 산 164-5,1981-10-27,458.0
노거목 - 명목,느티나무 (Zelkova Tree),수유동 458-1,2006-07-13,138.0
노거목 - 풍치목,은행나무 (Ginkgo biloba L.),방학동 546,1968-02-26,886.0
노거목 - 정자목,느티나무 (Zelkova serrata MAKINO),도봉동 512 (서원터),1980-12-22,259.0
노거목 - 당산목,느티나무 (Zelkova serrata MAKINO),도봉동 534-1 (무수골),1981-10-27,258.0
노거목 - 정자목,은행나무 (Ginkgo biloba L.),도봉동 401-2,1981-10-27,208.0
노거목 - 정자목,느티나무 (Zelkova serrata MAKINO),도봉동 401-2,1981-10-27,258.0
노거목 - 풍치목,느티나무 (Zelkova serrata MAKINO),도봉동 445-3,2012-01-05,312.0
노거목 - 정자목,은행나무 (Ginkgo biloba),중계동 산36-2,1971-10-12,678.0
노거목 - 정자목,은행나무 (Ginkgo biloba),중계동 61-22,1971-10-12,503.0
노거목 - 정자목,은행나무 (Ginkgo biloba),중계본동 75-36,1981-10-27,358.0
노거목 - 정자목,은행나무 (Ginkgo biloba),중계본동 90-37,1981-10-27,358.0
노거목 - 정자목,느티나무 (Zelkova serrata),상계동 995-4,1981-10-27,258.0
노거목 - 정자목,은행나무 (Ginkgo biloba),상계동 995,1981-10-27,258.0
