t_sta_info,t_sta_spec,t_sta_ad,t_sta_dat,t_sta_age
노목 - 정자목,향나무 (Juniperus chinensis L.),팽성읍 두2리 120 번지,1982-10-15,490.0
희귀목 - 희귀목,곰솔 (Pinus thunbergii Parl.),팽성읍 두1리 10 번지,1985-02-14,287.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),팽성읍 원정리 87-2 번지,1982-10-15,440.0
노목 - 무,팽나무 (Celtis sinensis Pers.),팽성읍 근내리 31 번지,1986-10-16,206.0
노목 - 무,느티나무 (Zelkova serrata (Thunb.) Makino),오성면 양교4리 602 번지,1982-10-15,210.0
노목 - 정자목,팽나무 (Celtis sinensis Pers.),오성면 당거2리 363 번지,1982-10-15,190.0
노목 - 무,은행나무 (Ginkgo biloba L.),서탄면 사리 558 번지,1982-10-15,590.0
노목 - 무,은행나무 (Ginkgo biloba L.),서탄면 내천1리 108 번지,1982-10-15,340.0
노목 - 무,은행나무 (Ginkgo biloba L.),진위면 동천리 563 번지,1982-10-15,740.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 마산1리 852 번지,1982-10-15,640.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 마산1리 852 번지,1982-10-15,640.0
희귀목 - 희귀목,회화나무 (Sophora japonica L.),진위면 하북1리 149 번지,1982-10-15,240.0
노목 - 무,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 봉남리 256 번지,1986-10-16,336.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 봉남1리 331 번지,1982-10-15,240.0
노목 - 무,회화나무 (Sophora japonica L.),진위면 봉남1리 166 번지,1982-10-15,290.0
노목 - 무,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 봉남1리 166 번지,1982-10-15,240.0
노목 - 무,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 봉남3리 284 번지,1986-10-16,136.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 가곡리 61 번지,1986-10-16,236.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 가곡리 80 번지,1982-10-15,340.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),진위면 마산3리 293 번지,1986-10-16,156.0
노목 - 무,회화나무 (Sophora japonica L.),고덕면 방축2리 707 번지,1982-10-15,440.0
노목 - 무,회화나무 (Sophora japonica L.),고덕면 방축2리 707 번지,1982-10-15,440.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 무,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),고덕면 두릉2리 465-1 번지,1982-10-15,190.0
노목 - 정자목,은행나무 (Ginkgo biloba L.),안중읍 학현리 277 번지,1982-10-15,890.0
노목 - 무,향나무 (Juniperus chinensis L.),안중읍 용성리 산7-7 번지,1986-08-12,386.0
노목 - 무,느티나무 (Zelkova serrata (Thunb.) Makino),안중읍 덕우리 295 번지,1982-10-15,190.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),현덕면 덕목4리 754 번지,1982-10-15,640.0
노목 - 무,느티나무 (Zelkova serrata (Thunb.) Makino),현덕면 방축2리 250 번지,1986-10-16,536.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),현덕면 대안리 산55-3 번지,1997-08-11,325.0
노목 - 정자목,은행나무 (Ginkgo biloba L.),청북면 어소2리 223 번지,1982-10-15,340.0
노목 - 풍치목,주엽나무 (Gleditsia japonica Miq.),청북면 후사1리 273-7 번지,1982-10-15,290.0
노목 - 무,소나무 (Pinus densiflora Siebold & Zucc.),팽성읍 본정리 163-1 번지,1997-08-11,225.0
노목 - 정자목,팽나무 (Celtis sinensis Pers.),서탄면 금암리 255-1 번지,2001-11-23,271.0
노목 - 무,회화나무 (Sophora japonica L.),지제동 704-4 번지,2007-11-15,265.0
노목 - 무,향나무 (Juniperus chinensis L.),고덕면 두릉2리 646 번지,2007-11-21,165.0
,은행나무 (Ginkgo biloba L.),광명동 581-11 번지,1982-10-15,540.0
,회화나무 (Sophora japonica L.),광명동 575-17 번지,1982-10-15,340.0
,느티나무 (Zelkova serrata (Thunb.) Makino),노온사동 469 번지,1982-10-15,440.0
,측백나무 (Thuja orientalis L.),소하동 1084 번지,1982-10-15,440.0
,느티나무 (Zelkova serrata (Thunb.) Makino),옥길동 산121 번지,1982-10-15,390.0
,느티나무 (Zelkova serrata (Thunb.) Makino),옥길동 산121 번지,1982-10-15,390.0
,향나무 (Juniperus chinensis L.),광명동 164 번지,2000-01-10,262.0
,향나무 (Juniperus chinensis L.),광명동 164 번지,2000-01-10,262.0
노목 - 정자목,은행나무 (Ginkgo biloba L.),포동 36 번지,1982-10-15,541.0
노목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),포동 35-2 번지,1982-10-15,441.0
노목 - 당산목,소나무 (Pinus densiflora Siebold & Zucc.),포동 산49-4 번지,1982-10-15,441.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),금이동 454-3 번지,1995-09-28,528.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),금이동 463-7 번지,1995-09-28,528.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),금이동 463-7 번지,1995-09-28,528.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),금이동 463-7 번지,1995-09-28,528.0
노목 - 보목,향나무 (Juniperus chinensis L.),하중동 826-2 번지,1982-10-08,1041.0
노목 - 정자목,은행나무 (Ginkgo biloba L.),논곡동 282-5 번지,1982-10-08,241.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),하상동 71-1 번지,2000-07-03,423.0
,측백나무 (Thuja orientalis L.),조남동 4 번지,2007-06-18,366.0
,향나무 (Juniperus chinensis L.),계수동 산22-1 번지,2007-06-18,516.0
,측백나무 (Thuja orientalis),장곡동 102 번지,2019-04-15,204.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),당정동 1016-4 번지,1982-10-08,542.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),부곡동 1168-1 번지,1990-10-30,434.0
거목 - 정자목,팽나무 (Celtis sinensis Pers.),팔탄면 매곡리 108-3 번지,1982-10-15,540.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),팔탄면 구장리 791 번지,1982-10-15,490.0
거목 - 정자목,물푸레나무 (Fraxinus rhynchophylla Hance),팔탄면 해창리 214 번지,1982-10-15,440.0
거목 - 정자목,소나무 (Pinus densiflora Siebold & Zucc.),팔탄면 구장리 669-2번지,1994-12-12,258.0
노목 - 정자목,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),팔탄면 창곡리 629-3 번지,1982-10-15,240.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),팔탄면 덕우리 220-1 번지,1996-10-25,202.0
노목 - 정자목,은행나무 (Ginkgo biloba L.),봉담읍 분천리 257 번지,1982-10-15,540.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"봉담읍 분천리 300 번지, .311-4번지",1982-10-15,740.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),봉담읍 내리 505-4 번지,1982-10-15,540.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),봉담읍 상리 292-2 번지,1982-10-15,440.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),봉담읍 마하리 290-1 번지,1982-10-15,280.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),봉담읍 상기리 122 번지,1982-10-15,300.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),봉담읍 상기리 산66-1 번지,1982-10-15,290.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"매송면 송라리 407 번지, 412-5번지",1982-10-15,640.0
거목 - 정자목,회화나무 (Sophora japonica L.),매송면 송라리 624-5 번지,1982-10-15,540.0
거목 - 정자목,향나무 (Juniperus chinensis L.),매송면 어천리 398-1 번지,1982-10-15,440.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),매송면 어천리 394-2 번지,1982-10-15,440.0
거목 - 정자목,측백나무 (Thuja orientalis L.),"매송면 숙곡리 365, 산49 번지",1982-10-15,340.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"매송면 송라리 452번지, 453번지",1982-10-15,340.0
노목 - 정자목,향나무 (Juniperus chinensis L.),매송면 숙곡리 128-2 번지,1982-10-15,530.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"장안면 금의리 255-2 번지,275번지, 256-1번지",1982-10-15,540.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"장안면 노진리 97-2번지, 97-4번지, 97-5번지, 82번지",1982-10-15,540.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"장안면 독정리 산283번지, 962번지",1982-10-15,340.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"우정읍 석천리 828-3번지, 828-4번지, 834-2번지",1982-10-15,540.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"우정읍 운평리 538번지, 539번지, 537번지, 535-4번지",1982-10-15,690.0
거목 - 정자목,회화나무 (Sophora japonica L.),"우정읍 화산리 506번지, 507번지, 505-3번지",1982-10-15,590.0
거목 - 정자목,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),우정읍 화산리 559-2 번지,1982-10-15,490.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"우정읍 화산리 85번지, 85-3번지",1982-10-15,440.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"우정읍 운평리 856번지, 858-1번지",1982-10-15,440.0
거목 - 정자목,소나무 (Pinus densiflora Siebold & Zucc.),우정읍 조암리 790번지,1982-10-15,270.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"향남면 증거리 468번지, 121-3번지, 산17-2번지",1982-10-15,1340.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"향남면 상두리 403-1번지, 403-2번지",1982-10-15,590.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"향남읍 화리현리 348-2번지, 346번지",1982-10-15,440.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"향남면 송곡리 147-2번지, 148-3번지",1982-10-15,360.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"향남면 상두리 198번지, 199번지, 197번지, 471번지",1982-10-15,440.0
노목 - 정자목,팽나무 (Celtis sinensis Pers.),"향남면 장짐리 161번지, 110-2번지, 400-34번지",1982-10-15,240.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"향남면 백토리 624번지, 151번지, 151-2번지",1982-10-15,260.0
거목 - 정자목,팽나무 (Celtis sinensis Pers.),"향남면 평리 123-2번지, 222-12번지",1982-10-15,240.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),정남면 내리 88-7 번지,1982-10-15,600.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),정남면 관항리 715번지,1982-10-15,340.0
거목 - 정자목,향나무 (Juniperus chinensis L.),정남면 제기리 214 번지,1982-10-15,340.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"정남면 백리 390-6번지, 390-4번지, 302번지, 474번지",1982-10-15,280.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),정남면 신리 211 번지,1982-10-15,220.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"정남면 문학리 100-1번지, 101번지, 736번지",1982-10-15,170.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"금곡동 494번지, 491-1번지, 491-7번지, 491-5번지",1982-10-15,540.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"장지동 635-1, 1086-2번지",1982-10-15,450.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),오산동 1060,1982-10-15,440.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"신동 353번지, 354-2번지",1982-10-15,240.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),송동 727,1982-10-15,240.0
거목 - 명목,회화나무 (Sophora japonica L.),비봉면 유포리 산22번지,1982-10-15,470.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),비봉면 남전리 산34번지,1982-10-15,390.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"비봉면 청요리 882번지, 208-3번지",1997-07-31,375.0
거목 - 정자목,측백나무 (Thuja orientalis L.),"비봉면 청요리 428-24번지, 428-51번지",1997-07-31,357.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"비봉면 청요리 98번지, 194번지",1982-10-15,290.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"비봉면 구포리 514번지, 515번지",1982-10-15,290.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"마도면 금당리 438-1번지, 438-2번지, 438-3번지, 846번지",1982-10-15,400.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"마도면 두곡리 531번지, 199번지",1982-10-15,400.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),양감면 요당리 170-12번지,1982-10-15,400.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),양감면 정문리 346번지,1982-10-15,400.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"양감면 사창리 691번지, 688번지, 1059번지",1982-10-15,360.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"양감면 송산리 972-3번지, 1013번지",1982-10-15,390.0
거목 - 정자목,회화나무 (Sophora japonica L.),"남양읍 남양리 653-1번지, 651-1번지",1982-10-15,390.0
거목 - 정자목,회화나무 (Sophora japonica L.),남양읍 남양리 651-1 번지,1982-10-15,390.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),"남양읍 무송리 342번지, 344번지",1982-10-15,390.0
거목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),"남양읍 신외리 515번지, 516번지",1996-10-25,389.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),남양읍 남양리 335 번지,1982-10-15,170.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),남양읍 남양리 335 번지,1982-10-15,170.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),남양읍 남양리 334 번지,1982-10-15,170.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),"서신면 상안리 586-1번지, 산150-1번지",1982-10-15,450.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),서신면 궁평리 107번지,1982-10-15,390.0
거목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),서신면 전곡리 252번지,1982-10-15,390.0
거목 - 정자목,소나무 (Pinus densiflora Siebold & Zucc.),"송산면 용포리 231-59번지, 232-5번지",1982-10-15,190.0
노목 - 정자목,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),"마도면 금당리 87-1번지, 87-15번지, 87-16번지",2007-08-23,515.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),방교동 851 번지,2015-08-24,307.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),황계동 188-4,2019-08-14,353.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),관고동 438 번지,1982-10-15,710.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),관고동 16-9 번지,1982-10-15,530.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),창전동 420-8 번지,1982-10-15,440.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),관고동 437 번지,1982-10-15,400.0
노목 - 풍치목,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),율현동 127 번지,1982-10-15,280.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),백사면 송말1리 436번지,1982-10-15,840.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),백사면 도립1리 736 번지,1982-10-15,640.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),백사면 내촌리 142-1 번지,1982-10-15,590.0
노목 - 풍치목,들메나무 (Fraxinus mandshurica Rupr.),백사면 상용리 245 번지,1998-08-01,354.0
노목 - 당산목,은행나무 (Ginkgo biloba L.),대월면 도리리 472 번지,1982-10-15,590.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),대월면 대대리 165 번지,1982-10-15,530.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),마장면 오천2리 371번지,1982-10-15,790.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),마장면 관3리 296 번지,1982-10-15,590.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),마장면 관3리 296 번지,1982-10-15,390.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),마장면 오천1리 303-2 번지,1982-10-15,590.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),마장면 이치2리 549 번지,1982-10-15,490.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),마장면 이치2리 353 번지,1982-10-15,540.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),마장면 덕평1리 457-1 번지,1998-08-01,374.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),마장면 목리 318-3 번지,1982-10-15,340.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),마장면 작촌리 146-3 번지,1982-10-15,340.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),설성면 장능3리 613-3 번지,1982-10-15,390.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),설성면 장천3리 665 번지,1982-10-15,360.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),설성면 자석1리 239-6 번지,1982-10-15,390.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),신둔면 수남리 135 번지,1982-10-15,440.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),신둔면 수하리 87-2 번지,1982-10-15,740.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),신둔면 도암1리 산17-1 번지,1982-10-15,390.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),신둔면 장동2리 452-13 번지,1982-10-15,440.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),신둔면 도봉1리 427-3 번지,1982-10-15,290.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),신둔면 수하리 190-18 번지,1982-10-15,540.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),신둔면 장동1리 784번지,1982-10-15,340.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),신둔면 용면리 556-1 번지,1982-10-15,540.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),모가면 원두1리 275-2 번지,1982-10-15,570.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),모가면 소고1리 187-1 번지,1982-10-15,610.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),모가면 송곡1리 299-2 번지,1982-10-15,430.0
노목 - 풍치목,소나무 (Pinus densiflora Siebold & Zucc.),모가면 산내리 산33-1 번지,1998-01-15,494.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),모가면 서경1리 508 번지,1982-10-15,200.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),율면 오성2리 산55 번지,1982-10-15,590.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),율면 오성1리 72 번지,1982-10-15,640.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),율면 고당1리 209-6 번지,1982-10-15,590.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),율면 월포4리 191 번지,1998-08-01,524.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),율면 월포4리 191 번지,1998-08-01,524.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),율면 신추2리 665-1 번지,1982-10-15,440.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),율면 산성1리 77-9 번지,1982-10-15,590.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),율면 월포1리 880-2 번지,1982-10-15,390.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),장호원 진암3리 731 번지,1982-10-15,590.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),장호원 송산1리 223-1번지,1982-10-15,740.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),장호원 와현2리 561 번지,1982-10-15,340.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),장호원 진암4리 161-7 번지,1982-10-15,340.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),장호원 나래1리 423-4 번지,1982-10-15,390.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),호법면 단천1리 425-8 번지,1982-10-15,440.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),호법면 유산1리 505-2 번지,1982-10-15,320.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),호법면 유산1리 산13-3 번지,1982-10-15,590.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),호법면 안평1리 518 번지,1982-10-15,490.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),호법면 매곡1리 793 번지,1982-10-15,230.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),호법면 매곡1리 687 번지,1982-10-15,290.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),호법면 송갈1리 267-1 번지,1982-10-15,290.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),백사면 경사리 371 번지,2000-01-04,372.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),마장 관리 252 번지,2006-10-02,406.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),마장 각평 141-2 번지,2006-10-02,416.0
노목 - 풍치목,은행나무 (Ginkgo biloba L.),장호원 송산 산223-1 번지,2006-10-02,616.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),장호원 풍계 999 번지,2006-10-02,416.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),신둔면 장동1리 784 번지,2007-06-25,415.0
노목 - 정자목,은행나무 (Ginkgo biloba L.),북변동 361-19번지,1982-10-15,540.0
거목 - 명목,느티나무 (Zelkova serrata (Thunb.) Makino),북변동 370-2 번지,1982-10-15,340.0
거목 - 명목,느티나무 (Zelkova serrata (Thunb.) Makino),감정동 492 번지,1982-10-15,360.0
거목 - 풍치목,은행나무 (Ginkgo biloba L.),감정동 산28-2 번지,1982-10-15,290.0
거목 - 명목,느티나무 (Zelkova serrata (Thunb.) Makino),감정동 492 번지,1994-05-12,220.0
거목 - 풍치목,향나무 (Juniperus chinensis L.),장기동 1595 번지,1982-10-15,340.0
거목 - 풍치목,향나무 (Juniperus chinensis L.),장기동 1593 번지,1982-10-15,290.0
거목 - 풍치목,향나무 (Juniperus chinensis L.),운양동 1318-3 번지,1982-10-15,340.0
희귀목 - 정자목,들메나무 (Fraxinus mandshurica Rupr.),운양동 1144-5 번지,1982-10-15,200.0
거목 - 명목,느티나무 (Zelkova serrata (Thunb.) Makino),풍무동 665 번지,1982-10-15,400.0
노목 - 정자목,은행나무 (Ginkgo biloba L.),대곶면 율생리 200 번지,1982-10-15,540.0
거목 - 정자목,향나무 (Juniperus chinensis L.),대곶면 율생리 488-5번지,1982-10-15,160.0
거목 - 풍치목,상수리나무 (Quercus acutissima Carruth.),대곶면 초원지리 33-8 번지,1982-10-15,240.0
거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),대곶면 약암리 37 번지,1982-10-15,220.0
거목 - 정자목,은행나무 (Ginkgo biloba L.),대곶면 약암리 53 번지,1982-10-15,340.0
거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),대곶면 약암리 751 번지,1982-10-15,170.0
희귀목 - 풍치목,음나무 (Kalopanax septemlobus (Thunb.) Koidz.),대곶면 거물대리 497 번지,1982-10-15,540.0
노목 - 당산목,은행나무 (Ginkgo biloba L.),월곶면 개곡리 503-6 번지,1982-10-15,540.0
거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 성동리 258-3 번지,1982-10-15,340.0
노목 - 기형목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 성동리 254-2 번지,1982-10-15,490.0
노목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 보구곶리 346 번지,1982-10-15,440.0
노목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 보구곶리 373-5 번지,1982-10-15,520.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),월곶면 보구곶리 204 번지,1982-10-15,520.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 고양리 683 번지,1982-10-15,490.0
거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 갈산리 134-2 번지,1982-10-15,340.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 고막리 361-1 번지,1982-10-15,240.0
거목 - 명목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 군하리 220 번지,1982-10-15,290.0
거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 군하리 83-2 번지,1994-05-12,278.0
희귀목 - 풍치목,회화나무 (Sophora japonica L.),월곶면 군하리 83-2 번지,1994-05-12,278.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 군하리 83-1 번지,1982-10-15,390.0
거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 군하리 84-1 번지,1982-10-15,440.0
거목 - 풍치목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 군하리 83-2 번지,1982-10-15,490.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 군하리 220 번지,1982-10-15,440.0
거목 - 정자목,느티나무 (Zelkova serrata (Thunb.) Makino),월곶면 군하리 220 번지,1982-10-15,440.0
노목 - 명목,향나무 (Juniperus chinensis L.),하성면 가금리 107 번지,1982-10-15,540.0
노목 - 풍치목,향나무 (Juniperus chinensis L.),하성면 가금리 475-4 번지,1982-10-15,540.0
거목 - 풍치목,은행나무 (Ginkgo biloba L.),하성면 가금리 245 번지,1982-10-15,440.0
거목 - 당산목,느티나무 (Zelkova serrata (Thunb.) Makino),하성면 가금리 202-1 번지,1982-10-15,490.0
노목 - 정자목,은행나무 (Ginkgo biloba L.),하성면 석탄리 산101-2 번지,1982-10-15,620.0
