번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
76,부산광역시,동래구,부산광역시 동래구청,2002-06-02,1980-12-08,,노목+거목,,,은행나무,1,223,16,3.5,11,시·군나무,종교용지,,개인,"부산광역시 동래구 동래로 103, 동래향교 (명륜동)",부산광역시 동래구 명륜동 235 동래향교,35.20787889,129.0842108,2024-02-15
77,부산광역시,동래구,부산광역시 동래구청,2-6-8-1,1980-12-08,,노목+거목,,,회화나무,1,253,17,4.1,15,면나무,대,,개인,부산광역시 동래구 충렬대로309번길 56 (안락동),부산광역시 동래구 안락동 1012-2,35.20089152,129.093548,2024-02-15
78,부산광역시,동래구,부산광역시 동래구청,2-6-8-0-1,1980-12-08,,노목+거목,,,팽나무,1,203,17,3.2,20,마을나무,대,,공공,"부산광역시 동래구 충렬대로256번길 31, 1797 팽나무하우스 (낙민동)",부산광역시 동래구 낙민동 293-10 1797 팽나무하우스,35.19969406,129.0869631,2024-02-15
79,부산광역시,기장군,부산광역시 기장군,2-10,1978-08-12,,노목,느릅나무과,Zelkova serrata,느티나무,1,1345,25,8,2.55,시·군나무,종교용지,251,공공,,부산광역시 기장군 장안읍 장안리 294,35.36460396,129.2488207,2024-01-18
80,부산광역시,남구,부산광역시 남구청,부산-남구-2022-2-5,2022-01-12,,노목,소나무,,곰솔,1,112,22,1.7,,마을나무,잡종지,,,,부산광역시 남구 무민사로33번길 11-15(감만동),35.11291,129.080318,2024-06-30
81,부산광역시,남구,부산광역시 남구청,부산-남구-2022-2-4,2022-01-12,,노목,소나무,,곰솔,1,117,22,1.7,,마을나무,잡종지,,,,부산광역시 남구 무민사로33번길 11-15(감만동),35.11291,129.080318,2024-06-30
82,부산광역시,남구,부산광역시 남구청,부산-남구-2022-2-3,2022-01-12,,노목,소나무,,곰솔,1,107,22,1.5,,마을나무,잡종지,,,,부산광역시 남구 무민사로33번길 11-15(감만동),35.11291,129.080318,2024-06-30
83,부산광역시,남구,부산광역시 남구청,부산-남구-2022-2-2,2022-01-12,,노목,소나무,,곰솔,1,142,22,1.9,,마을나무,잡종지,,,,부산광역시 남구 무민사로33번길 11-15(감만동),35.11291,129.080318,2024-06-30
84,부산광역시,남구,부산광역시 남구청,2-7-1-0-1,1980-12-08,,노목,소나무,,소나무,1,154,15,3.5,,마을나무,대,,,,부산광역시 남구 유엔평화로47번길 153-10(대연동),35.131108,129.100684,2024-06-30
85,부산광역시,사상구,부산광역시 사상구청,구나무 2-15-2,1980-12-08,,노목,느릅나무과,Celtis sinensis,팽나무,1,336,30,30,15,시·군나무,대,412,공공,부산광역시 사상구 강선로 8(덕포1동),부산광역시 사상구 덕포1동 712-8,35.16871639,128.9831018,2024-08-12
86,부산광역시,사상구,부산광역시 사상구청,구나무 2-15-2,1980-12-08,,노목,느릅나무과,Zelkova serrata,느티나무,1,336,30,1.7,15,시·군나무,대,412,공공,부산광역시 사상구 강선로 8(덕포1동),부산광역시 사상구 덕포1동 712-8,35.16871639,128.9831018,2024-08-12
87,부산광역시,사상구,부산광역시 사상구청,구나무 2-15-1,1980-12-08,,노목,느릅나무과,Aphananthe aspera (Thunb.) Planchon,푸조나무,5,336,10,1.7,8,시·군나무,대,1609,공공,부산광역시 사상구 사상로319번길 6(덕포2동),부산광역시 사상구 덕포2동 417-9,35.173574,128.9834083,2024-08-12
88,부산광역시,사상구,부산광역시 사상구청,구나무 2-15-1,1980-12-08,,노목,느릅나무과,Celtis sinensis,팽나무,1,336,10,1.7,10,시·군나무,대,1609,공공,부산광역시 사상구 사상로319번길 6(덕포2동),부산광역시 사상구 덕포2동 417-9,35.173575,128.9834083,2024-08-12
89,부산광역시,해운대구,부산광역시 해운대구,부산-해운대구-2023-2-01,2024-03-07,,노목,겉씨식물 구과나무 소나무과,Pinus thunbergii,곰솔,1,140,17,1.3,,마을나무,임야,,,"부산광역시 해운대구 동백로 99, 최치원선생비 (우동)",부산광역시 해운대구 우동 708-3 최치원선생비,35.153574,129.152196,2024-07-18
90,부산광역시,금정구,공원녹지과,2--11-1,1980-12-08,,노목,느릅나무과(Ulmaceae),Aphananthe aspera (Thunb.) Planchon,푸조나무,1,424,10,3.6,10,시·군나무,대,497.8,공공,부산광역시 금정구 부곡로156번길 7,부산광역시 금정구 부곡2동 265-10,35.22983713,129.0926986,2024-07-22
91,부산광역시,금정구,공원녹지과,2--11-4,1980-12-08,,노목,느릅나무과(Ulmaceae),Zelkova serrata (Thunb.) Makino,느티나무,1,364,17,4,15,시·군나무,공원,2126,공공,부산광역시 금정구 두구로51번길 162,부산광역시 금정구 두구동 1217-2,35.3036335,129.1115573,2024-07-22
92,부산광역시,금정구,공원녹지과,2-11-14-1,1980-12-08,,노목,느릅나무과(Ulmaceae),Aphananthe aspera (Thunb.) Planchon,푸조나무,1,364,25,5,15,면나무,임야,301,공공,부산광역시 금정구 두구동 1192-1,부산광역시 금정구 두구동 1192-1,35.302079,129.115202,2024-07-22
93,부산광역시,금정구,공원녹지과,2-11-14-2,1980-12-21,,노목,느릅나무과(Ulmaceae),Aphananthe aspera (Thunb.) Planchon,푸조나무,1,623,16,3.9,10,면나무,공원,3065,공공,부산광역시 금정구 두구동 1210-1,부산광역시 금정구 두구동 1210-1,35.303249,129.112526,2024-07-22
94,부산광역시,금정구,공원녹지과,2-11-16-0-1,1980-12-08,,노목,은행나무과(Ginkgoaceae),Ginkgo biloba L.,은행나무,1,624,25,6.7,16,도나무,종교용지,21192,개인,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.28304308,129.0676212,2024-07-22
95,부산광역시,금정구,공원녹지과,2-11-14-3,1980-12-09,,노목,느릅나무과(Ulmaceae),Aphananthe aspera (Thunb.) Planchon,푸조나무,1,313,15,3.3,9,면나무,공원,2126,공공,부산광역시 금정구 두구로51번길 162,부산광역시 금정구 두구동 1217-2,35.3036335,129.1115573,2024-07-22
