번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
33,울산광역시,남구,울산광역시 남구청,12-2-8-1,1982-11-10,,노목,소나무과,Pinus thunbergiana Franco,해송,1,300,13,1.2,,면나무,종교용지,,공공,,울산광역시 남구 무거동 129번지 4호,35.5523607,129.271425,2024-07-19
34,울산광역시,중구,울산광역시중구,2009-02,2009-11-02,,노목,,,향나무,1,100,10,41,,시·군나무,대,,,"울산광역시 중구 병영3길 8, 병영1동행정복지센터 (남외동)",울산광역시 중구 남외동 247-1 병영1동행정복지센터,35.570147,129.346552,2024-03-22
35,울산광역시,중구,울산광역시중구,2009-04,2009-11-02,,노목,,,모감주나무,18,100,10,10,,시·군나무,하천,,,울산광역시 중구 난곡1길 4 (태화동),울산광역시 중구 태화동 886-3,35.549746,129.288999,2024-03-22
36,울산광역시,중구,울산광역시중구,2009-05,2009-12-07,,노목,,,이팝나무,1,300,11,105,,시·군나무,대,,,울산광역시 중구 태화로 287 (태화동),울산광역시 중구 태화동 35-16,35.554788,129.306202,2024-03-22
37,울산광역시,중구,울산광역시중구,2009-07,2009-12-07,,노목,,,종가시나무,1,150,12,80,,시·군나무,임야,,,울산광역시 중구 성안로 6 (북정동),울산광역시 중구 북정동 306-3,35.562376,129.319596,2024-03-22
38,울산광역시,중구,울산광역시중구,2009-07,2009-12-07,,노목,,,곰솔,1,250,12,86,,시·군나무,대,,,"울산광역시 중구 병영3길 8, 병영1동행정복지센터 (남외동)",울산광역시 중구 남외동 247-1 병영1동행정복지센터,35.570147,129.346552,2024-03-22
39,울산광역시,중구,울산광역시중구,2009-01,2009-11-02,,노목,,,은행나무,1,110,7,80,,시·군나무,대,,,"울산광역시 중구 병영3길 8, 병영1동행정복지센터 (남외동)",울산광역시 중구 남외동 247-1 병영1동행정복지센터,35.570147,129.346552,2024-03-22
40,울산광역시,중구,울산광역시중구,2009-03,2009-11-02,,노목,,,팽나무,1,300,15,70,,시·군나무,하천,,,울산광역시 중구 다운로 92 (다운동),울산광역시 중구 다운동 933-1,35.558468,129.264807,2024-03-22
41,울산광역시,북구,울산광역시 북구청,10월 01일,2010-12-08,,노목,콩과,Sophora japonica,회화나무,2,250,14,238,,시·군나무,답,,,울산광역시 북구 두부곡19길 32(연암동),,35.5851896,129.3630407,2024-07-10
42,울산광역시,북구,울산광역시 북구청,10월 03일,2010-12-08,,노목,층층나무과,Cornus walteri,말채나무,1,250,17,210,,시·군나무,답,,,울산광역시 북구 달곡1길 115(무룡동),,35.6089546,129.4222765,2024-07-10
43,울산광역시,북구,울산광역시 북구청,10월 02일,2010-12-08,,노목,느릅나무과,Celtis sinensis Persoon,팽나무,1,450,12,349,,시·군나무,답,,,울산광역시 북구 달곡1길 115(무룡동),,35.6089546,129.4222765,2024-07-10
44,울산광역시,북구,울산광역시 북구청,12-33,2000-12-30,,노목,소태나무과,Picrasma quassioides,소태나무,1,350,12,330,,시·군나무,전,,,울산광역시 북구 매곡동 209,,35.6402046,129.3635627,2024-07-10
45,울산광역시,북구,울산광역시 북구청,12-32,2000-12-30,,노목,소나무과,Pinus thunbergii,소나무(곰솔),1,250,22,425,,시·군나무,대,,,울산광역시 북구 당사동 108-1,,35.5974841,129.4624388,2024-07-10
46,울산광역시,북구,울산광역시 북구청,12월 31일,2000-12-30,,노목,느릅나무과,Zelkova serrata,느티나무,1,450,15,575,,시·군나무,종교용지,,,울산광역시 북구 당사동 367,,35.5851647,129.4565251,2024-07-10
47,울산광역시,북구,울산광역시 북구청,12월 30일,2000-12-30,,노목,콩과,Sophora japonica,회화나무,1,400,21,425,,시·군나무,종교용지,,,울산광역시 북구 대안동 739,,35.6611402,129.390587,2024-07-10
48,울산광역시,북구,울산광역시 북구청,12월 29일,1982-11-10,,노목,소나무과,Pinus densiflora,소나무,1,600,14,410,,시·군나무,임야,,,울산광역시 북구 정자동 산20,,35.6148029,129.4438281,2024-07-10
49,울산광역시,중구,울산광역시중구,2009-13,2009-12-07,,노목,,,느릅나무,1,350,14,83,,시·군나무,하천,,,"울산광역시 중구 외솔큰길 343, 동천 이동식화장실 (동동)",울산광역시 중구 동동 829 동천 이동식화장실,35.579418,129.349713,2024-03-22
50,울산광역시,중구,울산광역시중구,2009-09,2009-12-07,,노목,,,곰솔,1,200,10,83,,시·군나무,대,,,울산광역시 중구 내황13길 29 (반구동),울산광역시 중구 반구동 360,35.553537,129.348135,2024-03-22
51,울산광역시,중구,울산광역시중구,2009-10,2023-12-07,,노목,,,회화나무,1,300,13,121,,시·군나무,학교용지,,,울산광역시 중구 북정동길 4 (복산동),울산광역시 중구 복산동 537-2,35.558261,129.321488,2024-03-22
52,울산광역시,중구,울산광역시중구,2009-11,2009-12-07,,노목,,,회화나무,1,700,11,150,,시·군나무,대,,,울산광역시 중구 당산1안길 32 (우정동),울산광역시 중구 우정동 276-44,35.554259,129.315359,2024-03-22
53,울산광역시,중구,울산광역시중구,2009-08,2009-12-07,,노목,,,곰솔,1,200,8,76,,시·군나무,대,,,울산광역시 중구 길촌길 244-1 (유곡동),울산광역시 중구 유곡동 756-1,35.576571,129.291043,2024-03-22
