번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
277,전북특별자치도,장수군,장수군청,2009-09-13,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,322,18,1.6,5,마을나무,하천,,단체,장수군 번암면 국포리 104,장수군 번암면 국포리 104,35.549498,127.495716,2021-10-13
278,전북특별자치도,장수군,장수군청,2009-09-12,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,382,16,2.23,7,마을나무,도로,,단체,장수군 번암면 국포리 780,장수군 번암면 국포리 780,35.555742,127.477194,2021-10-13
279,전북특별자치도,장수군,장수군청,2009-09-10,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,322,20,1.6,5,마을나무,답,,단체,장수군 번암면 논곡리 903-5,장수군 번암면 논곡리 903-5,35.510757,127.537263,2021-10-13
280,전북특별자치도,장수군,장수군청,2009-09-07,1982-09-20,,노목,은행나무,Ginkgo biloba,은행나무,1,432,20,1.6,5,시·군나무,대,,공공,장수군 산서면 하월리 305,장수군 산서면 하월리 305,35.564645,127.392601,2021-10-13
281,전북특별자치도,장수군,장수군청,2009-09-06,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,2,322,17,1.6,5,마을나무,임야,,단체,장수군 산서면 건지리 420-1,장수군 산서면 건지리 420-1,35.573423,127.413115,2021-10-13
282,전북특별자치도,장수군,장수군청,2009-09-04,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,2,352,14,1.92,6,마을나무,도로,,단체,장수군 장수읍 송천리 618-1,장수군 장수읍 송천리 618-1,35.631423,127.501962,2021-10-13
283,전북특별자치도,장수군,장수군청,2009-09-03,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,322,17,2.23,7,마을나무,임야,,단체,장수군 장수읍 선창리 40,장수군 장수읍 선창리 40,35.660952,127.531764,2021-10-13
284,전북특별자치도,장수군,장수군청,2009-09-02,1982-09-20,,노목,은행나무,Ginkgo biloba,은행나무,1,412,22,2.23,7,시·군나무,대,,공공,장수군 장수읍 장수리 176-7,장수군 장수읍 장수리 176-7,35.64724,127.520868,2021-10-13
285,전북특별자치도,장수군,장수군청,09월 06일,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,512,17,1.6,5,마을나무,임야,,단체,장수군 장계면 삼봉리 428-3,장수군 장계면 삼봉리 428-3,35.726874,127.606358,2021-10-13
286,전북특별자치도,장수군,장수군청,09월 05일,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,552,15,2.55,8,마을나무,임야,,단체,장수군 번암면 지지리 730,장수군 번암면 지지리 730,35.585426,127.584441,2021-10-13
287,전북특별자치도,장수군,장수군청,2009-09-20,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,332,15,1.6,5,마을나무,임야,,단체,장수군 계남면 화양리 130,장수군 계남면 화양리 130,35.706896,127.570324,2021-10-13
288,전북특별자치도,장수군,장수군청,2009-09-21,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,382,12,1.6,5,마을나무,임야,,단체,장수군 계남면 화양리 661,장수군 계남면 화양리 661,35.696861,127.564749,2021-10-13
289,전북특별자치도,장수군,장수군청,2009-09-22,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,332,15,1.6,5,마을나무,임야,,단체,장수군 계남면 화양리 130,장수군 계남면 화양리 130,35.706896,127.570324,2021-10-13
290,전북특별자치도,장수군,장수군청,2009-09-23,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,352,15,1.92,6,마을나무,임야,,단체,장수군 계남면 호덕리 763-1,장수군 계남면 호덕리 763-1,35.713857,127.58478,2021-10-13
291,전북특별자치도,장수군,장수군청,2009-09-24,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,322,18,1.6,5,마을나무,임야,,단체,장수군 계남면 화음리 700,장수군 계남면 화음리 700,35.70443,127.583567,2021-10-13
292,전북특별자치도,장수군,장수군청,2009-09-25,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,312,13,1.28,4,마을나무,도로,,단체,장수군 계북면 원촌리 427,장수군 계북면 원촌리 427,35.812018,127.630305,2021-10-13
293,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-43,2001-06-22,,노목,소나무과,Pinus densiflora,소나무,1,300,15,22,,시·군나무,도로,,공공,,전북특별자치도 고창군 아산면 성산리 1255,35.439171,126.590335,2023-06-30
294,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-44,2001-06-22,,노목,느릅나무과,Zelkova serrata,느티나무,1,250,12,50,,면나무,도로,,공공,,전북특별자치도 고창군 성송면 하고리 752,35.350459,126.621304,2023-06-30
295,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-45,2001-09-21,,노목,느릅나무과,Zelkova serrata,느티나무,1,350,20,149,,시·군나무,도로,,공공,,전북특별자치도 고창군 부안면 상암리 71-2,35.547479,126.636893,2023-06-30
296,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-46,2002-09-13,,노목,느릅나무과,Zelkova serrata,느티나무,1,400,10,134,,시·군나무,도로,,공공,,전북특별자치도 고창군 공음면 칠암리 996,35.389151,126.519336,2023-06-30
297,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-47,2003-09-26,,노목,소나무과,Pinus densiflora,소나무,1,350,15,120,,시·군나무,임야,,개인,,전북특별자치도 고창군 고수면 초내리 산64-8,35.383241,126.664263,2023-06-30
298,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-48,2005-10-14,,노목,느릅나무과,Zelkova serrata,느티나무,1,300,20,200,,시·군나무,대,,공공,,전북특별자치도 고창군 고창읍 월곡리 245,35.434101,126.717151,2023-06-30
299,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-49,2005-10-14,,노목,느릅나무과,Zelkova serrata,느티나무,1,300,16,143,,시·군나무,대,,개인,전북특별자치도 고창군 고창읍 들반계길 47-17,전북특별자치도 고창군 고창읍 석교리 155,35.441024,126.684231,2023-06-30
300,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-50,2006-07-04,,노목,느릅나무과,Zelkova serrata,느티나무,1,500,6,156,,도나무,대,,개인,전북특별자치도 고창군 고수면 은사길 7-1,전북특별자치도 고창군 고수면 은사리 816,35.38191654,126.704373,2023-06-30
301,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-52,2006-12-05,,노목,버드나무과,Salix koreensis,버드나무,1,300,15,207,,시·군나무,임야,,공공,,전북특별자치도 고창군 고수면 장두리 816,35.393941,126.659352,2023-06-30
302,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-53,2006-12-05,,노목,느릅나무과,Zelkova serrata,느티나무,1,300,20,207,,시·군나무,임야,,단체,,전북특별자치도 고창군 아산면 반암리 1260-7,35.490488,126.618092,2023-06-30
303,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-54,2008-06-27,,노목,소나무과,Pinus densiflora,소나무,1,300,20,94,,시·군나무,임야,,공공,,전북특별자치도 고창군 고창읍 죽림리 194,35.444203,126.662821,2023-06-30
304,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-55,2008-10-30,,노목,버드나무과,Salix koreensis,버드나무,1,400,20,171,,시·군나무,도로,,공공,,전북특별자치도 고창군 신림면 외화리 527,35.497005,126.713847,2023-06-30
305,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-56,2009-06-12,,노목,느릅나무과,Zelkova serrata,느티나무,1,400,23,168,,시·군나무,도로,,공공,,전북특별자치도 고창군 대산면 상금리 520,35.320392,126.632029,2023-06-30
306,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-57,2010-08-20,,노목,느릅나무과,Zelkova serrata,느티나무,1,300,20,191,,시·군나무,임야,,단체,,전북특별자치도 고창군 심원면 월산리 777-4,35.524866,126.551112,2023-06-30
307,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-58,2011-12-13,,노목,느릅나무과,Celtis sinensis,팽나무,1,250,20,191,,면나무,임야,,개인,,전북특별자치도 고창군 해리면 금평리 산68-6,35.489481,126.509431,2023-06-30
308,전북특별자치도,고창군,전북특별자치도 고창군청,9-14-59,2015-11-13,,노목,은행나무과,Ginkgo biloba,은행나무,1,400,28,191,,시·군나무,대,,개인,,전북특별자치도 고창군 대산면 연동리 145,35.33848634,126.5459646,2023-06-30
309,전북특별자치도,장수군,장수군청,09월 05일,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,552,15,2.55,8,마을나무,임야,,단체,장수군 번암면 지지리 730,장수군 번암면 지지리 730,35.585426,127.584441,2021-10-13
310,전북특별자치도,장수군,장수군청,09월 06일,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,512,17,1.6,5,마을나무,임야,,단체,장수군 장계면 삼봉리 428-3,장수군 장계면 삼봉리 428-3,35.726874,127.606358,2021-10-13
311,전북특별자치도,전주시,풍남동장,09월 01일,1982-09-01,,노목+거목+희귀목,은행나무,은행나무,Ginkgo biloba,1,582,1600,130,0,마을나무,대,0,공공,전북특별자치도 전주시 완산구 은행로 33-7(풍남동3가),전북특별자치도 전주시 완산구 풍남동 3가 36-2,35.81701463,127.1525679,2020-08-31
312,전북특별자치도,전주시,풍남동장,39814,1982-09-01,,노목+거목+희귀목,기타,참죽나무,Cedrela sinensis,1,352,1300,110,0,마을나무,대,0,공공,전북특별자치도 전주시 완산구 태조로 44(풍남동3가),전북특별자치도 전주시 완산구 풍남동 3가 91-3,35.815519,127.1501202,2020-08-31
313,전북특별자치도,장수군,장수군청,2009-09-02,1982-09-20,,노목,은행나무,Ginkgo biloba,은행나무,1,412,22,2.23,7,시·군나무,대,,공공,장수군 장수읍 장수리 176-7,장수군 장수읍 장수리 176-7,35.64724,127.520868,2021-10-13
314,전북특별자치도,장수군,장수군청,2009-09-03,1982-09-20,,노목,느티나무,Zelkova serrata,느티나무,1,322,17,2.23,7,마을나무,임야,,단체,장수군 장수읍 선창리 40,장수군 장수읍 선창리 40,35.660952,127.531764,2021-10-13
315,전북특별자치도,전주시,교동장,39816,1982-09-01,,노목+거목+희귀목,은행나무,은행나무,Ginkgo biloba,1,382,2000,190,0,마을나무,대,0,공공,,전북특별자치도 전주시 완산구 교동 1가 26-3,35.81373,127.15712,2020-08-31
316,전북특별자치도,전주시,교동장,39817,1982-09-01,,노목+거목+희귀목,은행나무,은행나무,Ginkgo biloba,1,352,1700,170,0,마을나무,대,0,공공,,전북특별자치도 전주시 완산구 교동 1가 26-3,35.81370,127.15717,2020-08-31
