번호,시도명,시군구명,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,품격명,지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자
70,제주특별자치도,제주시,제주특별자치도,13-1-16-36(4),1982-10-22,,노목+거목,,,곰솔,1,150,12,260,,마을나무,도로,국(건설부),공공,,제주특별자치도 제주시 이호2동 1397-1(이호2동 1397-8 앞),33.4933107,126.457383,2024-07-24
71,제주특별자치도,제주시,제주특별자치도,2011-01,2011-11-02,,노목+거목,,,팽나무,1,150,12,350,,마을나무,도로,한림3리,단체,,제주특별자치도 제주시 한림읍 한림리 66-3(한림리 67 앞),33.4129960,126.281896,2024-07-24
72,제주특별자치도,제주시,제주특별자치도,2011-003,2011-11-02,,노목+거목,,,곰솔,1,120,9,30,,마을나무,학교용지,우도면,공공,,제주특별자치도 제주시 우도면 연평리 1457(연평리 1404-4 앞),33.5079112,126.953540,2024-07-24
73,제주특별자치도,제주시,제주특별자치도,2011-02,2011-11-02,,노목+거목,,,팽나무,1,350,14,300,,마을나무,공원,외도동,공공,,제주특별자치도 제주시 외도1동 492-11,33.4874325,126.427432,2024-07-24
74,제주특별자치도,제주시,제주특별자치도,2011-004,2011-12-15,,노목+거목,,,팽나무,1,350,17,300,,마을나무,종교용지,삼광사,단체,제주특별자치도 제주시 아봉로 279-7(월평동),제주특별자치도 제주시 월평동 1198,33.4734879,126.570532,2024-07-24
75,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-4-18,1982-10-22,,노목,,celtis sinensis pers,팽나무,1,365,1500,350,,시·군나무,대,,,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 17-5,제주특별자치도 서귀포시 안덕면 창천리 126,33.2563374,126.3106656,2024-07-19
76,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-4-3-10,1982-10-22,,노목,,Pinus densiflora Siebold & Zucc.,소나무,1,245,1000,200,,면나무,대,,,제주특별자치도 서귀포시 안덕면 덕수동로 25,제주특별자치도 서귀포시 안덕면 덕수리 942-1,33.26059061,126.3549152,2024-07-19
77,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-4-3-18,1990-11-24,,노목,,celtis sinensis pers,팽나무,1,127,1000,250,,마을나무,대,,,제주특별자치도 서귀포시 안덕면 덕수동로 25,제주특별자치도 서귀포시 안덕면 덕수리 942-1,33.23677255,126.3034326,2024-07-19
78,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-4-9-19,1990-11-24,,노목,,celtis sinensis pers,팽나무,1,127,1000,300,,마을나무,대,,,,제주특별자치도 서귀포시 안덕면 상창리 2492,33.31120545,126.3306009,2024-07-19
79,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-3-15,1982-10-22,,노목,,celtis sinensis pers,팽나무,1,355,800,220,,시·군나무,대,,,제주특별자치도 서귀포시 성산읍 시흥상동로 63,제주특별자치도 서귀포시 성산읍 시흥리 646-1,33.26393007,126.6249378,2024-07-19
80,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-3-5-5,1982-10-22,,노목,,celtis sinensis pers,팽나무,1,195,800,240,,마을나무,대,,,제주특별자치도 서귀포시 성산읍 수산서남로 74-3,제주특별자치도 서귀포시 성산읍 수산리 1281,33.27518619,126.6623503,2024-07-19
81,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-3-9-6,1982-10-22,,노목,,Camellia japonica L.,동백나무,1,195,900,160,,마을나무,대,,,,제주특별자치도 서귀포시 성산읍 난산리 377,33.31741375,126.6883306,2024-07-19
82,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-3-9-7,1982-10-22,,노목,,Camellia japonica L.,동백나무,1,195,900,140,,마을나무,대,,,,제주특별자치도 서귀포시 성산읍 난산리 377,33.31741375,126.6883306,2024-07-19
83,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-3-9-8,1982-10-22,,노목,,Camellia japonica L.,동백나무,1,195,900,140,,마을나무,대,,,,제주특별자치도 서귀포시 성산읍 난산리 377,33.31940165,126.7446921,2024-07-19
84,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,2013-04-06,1982-10-22,,노목,,Machilus thunbergii Siebold & Zucc.,후박나무,1,455,1200,430,,시·군나무,대,,,,제주특별자치도 서귀포시 성산읍 수산리 1293,33.31940165,126.7446921,2024-07-19
85,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-4-5-5-14,1982-10-22,,노목,,celtis sinensis pers,팽나무,1,245,900,230,,면나무,대,,,제주특별자치도 서귀포시 표선면 가시로 592번길 27-3,제주특별자치도 서귀포시 표선면 가시리 1298-6,33.31940165,126.7446921,2024-07-19
86,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,04월 13일,1982-10-22,,노목,,celtis sinensis pers,팽나무,1,655,1200,300,,도나무,대,,,제주특별자치도 서귀포시 중문상로 79,제주특별자치도 서귀포시 중문동 1687-1,33.27231626,126.6580802,2024-07-19
87,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,2013-02-03,1982-10-22,,노목,,Machilus thunbergii Siebold & Zucc.,후박나무,1,465,1050,460,,시·군나무,대,,,제주특별자치도 서귀포시 태평로439번길 17,제주특별자치도 서귀포시 서귀동 538,33.2787769,126.2480545,2024-07-19
88,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,2013-02-04,1982-10-22,,노목,,celtis sinensis pers,팽나무,1,405,1900,280,,시·군나무,대,,,제주특별자치도 서귀포시 용흥로 67,제주특별자치도 서귀포시 강정동 4040-3,33.27974503,126.2838747,2024-07-19
89,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-2-8-4,1982-10-22,,노목,,Ilex rotunda Thunb.,먼나무,1,186,950,250,,마을나무,대,,,제주특별자치도 서귀포시 분토왓로 46,제주특별자치도 서귀포시 서홍동 2565,33.26481,126.5532,2024-07-19
90,제주특별자치도,서귀포시,제주특별자치도 서귀포시청,13-2-10-6,1982-10-22,,노목,,Aphananthe aspera (Thunb.) Planch.,푸조나무,1,415,1300,300,,시·군나무,대,,,제주특별자치도 서귀포시 도순남로 11,제주특별자치도 서귀포시 도순동 861-1,33.2787769,126.2480545,2024-07-19
